id,name,time,servings,calories,protein,carbs,fat,sugar,cholesterol,fiber,tags,ingredients,steps,image,source,credits
11,American-italian Pasta Salad,25,20,100,5,5,2,0,0,1,"[""breakfast"", ""lunch"", ""dinner"", ""quick""]","[""1 (16 ounce) package fusilli pasta"", ""1 cup mayonnaise"", ""1 cup sour cream"", ""2 tablespoons milk"", ""1 (.7 ounce) package dry Italian-style salad dressing mix"", ""1 cup frozen petite peas, thawed"", ""1 cup cubed Genoa salami"", ""0.75 cup chopped green onions"", ""0.75 cup chopped celery"", ""2 (2 ounce) cans sliced black olives, drained"", ""0.5 cup chopped fresh parsley""]","[""Bring a large pot of lightly salted water to a boil. Cook fusilli in the boiling water, stirring occasionally, until tender yet firm to the bite, 10 to 13 minutes. Drain, rinse under cold water, and drain again. Transfer to a large bowl."", ""Meanwhile, whisk mayonnaise, sour cream, milk, and Italian dressing mix together in a medium bowl until smooth. Refrigerate \u00bd cup dressing until ready to serve; set aside remaining dressing."", ""Add thawed peas, salami, green onions, celery, olives, and parsley to pasta; stir in remaining dressing until well combined. Cover and refrigerate 8 hours to overnight."", ""Stir pasta salad; add reserved \u00bd cup dressing, a little at a time, if seems dry.""]",,Allrecipes,Original recipe from Allrecipes: https://www.allrecipes.com/recipe/14318/american-italian-pasta-salad/
12,Corned Beef Cabbage,150,6,100,5,5,2,0,4,1,"[""breakfast"", ""lunch"", ""dinner"", ""quick""]","[""1 (3 pound) corned beef brisket with spice packet"", ""10 small red potatoes"", ""5 medium carrots"", ""1 large head cabbage""]","[""Gather all ingredients."", ""Place corned beef in a Dutch oven and cover with water. Add spice packet, cover, and bring to a boil. Reduce heat and simmer until corned beef is just about fork-tender, about 2 hours. While the corned beef is simmering, cut potatoes in half. Peel carrots and cut into 3-inch pieces. Cut cabbage into small wedges."", ""When corned beef has cooked for 2 hours, add potatoes and carrots; cook until vegetables are almost tender, about 10 minutes. Add cabbage and continue to cook until potatoes are tender, about 15 more minutes."", ""Remove meat and let rest for 15 minutes. Leave broth and vegetables in the Dutch oven.Slice meat across the grain. Serve with vegetables and broth.""]",,Allrecipes,Original recipe from Allrecipes: https://www.allrecipes.com/recipe/16310/corned-beef-and-cabbage-i/
13,Gluten-free Layer Bars,10,1,320,10,25,17,0,15,5,"[""gluten-free"", ""breakfast"", ""lunch"", ""dinner"", ""quick""]","[""7 ounces sweetened flaked coconut, divided"", ""1 cup butterscotch chips"", ""6 ounces semisweet chocolate chips"", ""8 ounces unsalted peanuts"", ""0.5 cup sliced almonds"", ""1 (14 ounce) can sweetened condensed milk""]","[""Preheat oven to 350 degrees F ( 175 degrees C ). Generously grease one 13x9-inch baking pan."", ""Spread 2/3 of the flaked coconut evenly on the bottom of the baking pan. Sprinkle the butterscotch morsels, chocolate chips, and peanuts evenly over the coconut layer. Pour condensed milk evenly over the whole pan. Top with sliced almonds and remaining coconut."", ""Bake in preheated oven for 20 minutes. Cool completely before cutting into squares.""]",,Allrecipes,Original recipe from Allrecipes: https://www.allrecipes.com/recipe/11570/amazing-gluten-free-layer-bars/
14,Vegan Brownies,15,15,100,5,5,2,1,1,1,"[""vegan"", ""gluten-free"", ""breakfast"", ""lunch"", ""dinner"", ""quick""]","[""2 cups unbleached all-purpose flour"", ""2 cups white sugar"", ""0.75 cup unsweetened cocoa powder"", ""1 teaspoon baking powder"", ""1 teaspoon salt"", ""1 cup water"", ""1 cup vegetable oil"", ""1 teaspoon vanilla extract""]","[""Gather all ingredients. Preheat the oven to 350 degrees F (175 degrees C). Grease a 9x13-inch baking dish with baking spray; line bottom with parchment paper."", ""Whisk flour, sugar, cocoa powder, baking powder, and salt together in a large bowl until combined."", ""Pour in water (or coffee), vegetable oil, and vanilla; mix until well-blended. Spread batter evenly in the prepared dish."", ""Bake in the preheated oven until top is no longer shiny and center feels just set when gently pressed, about 30 minutes."", ""Let cool for at least 10 minutes before cutting into 15 squares. Enjoy!""]",,Allrecipes,Original recipe from Allrecipes: https://www.allrecipes.com/recipe/68436/vegan-brownies/
15,Cookie Mix Jar Iii,20,1,440,12,48,6,30,0,8,"[""breakfast"", ""lunch"", ""dinner"", ""quick""]","[""1 cup all-purpose flour"", ""1 teaspoon ground cinnamon"", ""0.5 teaspoon ground nutmeg"", ""1 teaspoon baking soda"", ""0.5 teaspoon salt"", ""0.75 cup raisins"", ""2 cups rolled oats"", ""0.75 cup packed brown sugar"", ""0.5 cup white sugar""]","[""Mix together flour, ground cinnamon, ground nutmeg, baking soda, and salt. Set aside."", ""Layer ingredients in the following order into a 1 quart, wide mouth canning jar: Flour mixture, raisins, rolled oats, brown sugar, and white sugar. It will be a tight fit, make sure you firmly pack down each layer before adding the next layer."", ""Attach a tag with the following instructions: Oatmeal Raisin Spice Cookies 1. Preheat oven to 350 degrees F (175 degrees C). Line cookie sheets with parchment paper. 2. Empty jar of cookie mix into large mixing bowl. Use your hands to thoroughly mix. 3. Mix in 3/4 cup butter or margarine, softened. Stir in one slightly beaten egg and 1 teaspoon of vanilla. Mix until completely blended. You will need to finish mixing with your hands. Shape into balls the size of walnuts. Place on a parchment lined cookie sheets 2 inches apart. 4. Bake for 11 to 13 minutes in preheated oven, or until edges are lightly browned. Cool 5 minutes on cookie sheet. Transfer cookies to wire racks to finish cooling.""]",,Allrecipes,Original recipe from Allrecipes: https://www.allrecipes.com/recipe/10644/cookie-mix-in-a-jar-iii/
16,Tiramisu Toffee Dessert,20,1,480,6,15,27,30,30,3,"[""breakfast"", ""lunch"", ""dinner"", ""quick""]","[""1 (10.75 ounce) package frozen prepared pound cake, thawed and cut into 9 slices"", ""0.75 cup strong brewed coffee"", ""1 (8 ounce) package cream cheese"", ""1 cup white sugar"", ""0.5 cup chocolate syrup"", ""2 cups heavy whipping cream"", ""2 (1.4 ounce) bars chocolate covered English toffee, chopped""]","[""Arrange cake slices on bottom of a rectangular 11x7 inch baking dish, cutting cake slices if necessary to fit the bottom of the dish. Drizzle coffee over cake."", ""Beat cream cheese, sugar, and chocolate syrup, in a large bowl with an electric mixer on medium speed until smooth. Add heavy cream; beat on medium speed until light and fluffy. Spread over cake. Sprinkle with chocolate-covered toffee candy."", ""Cover and refrigerate for at least 1 hour, but no longer than 24 hours, to set dessert and blend flavors.""]",,Allrecipes,Original recipe from Allrecipes: https://www.allrecipes.com/recipe/9505/tiramisu-toffee-dessert/
17,Cheese Ball,15,1,415,8,23,28,0,30,6,"[""breakfast"", ""lunch"", ""dinner"", ""quick""]","[""3 (8 ounce) packages cream cheese, softened"", ""1 tablespoon Worcestershire sauce"", ""1 tablespoon hot pepper sauce"", ""0.5 teaspoon minced garlic"", ""1 pound shredded Cheddar cheese"", ""1 cup finely chopped pecans"", ""0.25 cup finely chopped fresh parsley""]","[""Gather all ingredients."", ""Combine cream cheese, Worcestershire sauce, hot pepper sauce, and garlic in a food processor; blend until well combined."", ""Add Cheddar cheese and process until Cheddar is finely chopped but still very visible."", ""Remove mixture from the food processor and shape into 3 or 4 balls. Place in the freezer for 15 minutes."", ""Combine pecans and parsley in a shallow bowl. Remove chilled cheese balls from the freezer and roll in the pecan-parsley mixture until well coated."", ""Serve immediately, or rewrap nut-covered cheeseballs tightly with festive plastic wrap. Wrap again with aluminum foil, then freeze until ready to gift, up to 4 weeks.""]",,Allrecipes,Original recipe from Allrecipes: https://www.allrecipes.com/recipe/16600/herman-reunion-cheese-ball/
18,Burger Sauce,5,20,100,5,5,2,0,0,1,"[""breakfast"", ""lunch"", ""dinner"", ""quick""]","[""1 cup mayonnaise"", ""0.5 cup ketchup"", ""0.25 cup prepared yellow mustard"", ""2 teaspoons dried minced onion"", ""0.25 teaspoon dried minced garlic"", ""0.125 teaspoon white vinegar"", ""hot sauce to taste"", ""seasoned pepper to taste""]","[""Gather all ingredients."", ""Whisk together mayonnaise, ketchup, mustard, onion, garlic, and vinegar in a bowl."", ""Season with hot sauce and seasoned pepper."", ""Cover and chill at least 1 hour before serving."", ""Serve and enjoy!""]",,Allrecipes,Original recipe from Allrecipes: https://www.allrecipes.com/recipe/155191/best-burger-sauce/
19,Magic Cookie Bars Eagle Brand,15,1,320,10,25,17,0,15,5,"[""gluten-free"", ""breakfast"", ""lunch"", ""dinner"", ""quick""]","[""1.5 cups graham cracker crumbs"", ""0.5 cup butter or margarine, melted"", ""1 (14 ounce) can EAGLE BRAND\u00ae Sweetened Condensed Milk"", ""2 cups semisweet chocolate morsels"", ""1.3333333730698 cups flaked coconut"", ""1 cup chopped nuts""]","[""Gather all ingredients."", ""Preheat the oven to 350 degrees F (175 degrees C). If using a glass dish, preheat the oven to 325 degrees F (165 degrees C). Coat a 9x13-inch baking dish with cooking spray."", ""Mix graham cracker crumbs and butter in a bowl until well combined. Transfer the mixture to the prepared baking dish and press onto the bottom."", ""Pour sweetened condensed milk on graham cracker crust."", ""Sprinkle with an even layer of chocolate chips, coconut, and nuts."", ""Press toppings down firmly with the back of a fork."", ""Bake in the preheated oven until lightly browned, about 25 minutes. Cool completely, then cut into 36 bars or diamonds."", ""Serve and enjoy!""]",,Allrecipes,Original recipe from Allrecipes: https://www.allrecipes.com/recipe/63959/magic-cookie-bars-from-eagle-brand/
20,Gluten-free Sugar Cookies,20,1,760,10,43,41,30,45,7,"[""vegan"", ""gluten-free"", ""breakfast"", ""lunch"", ""dinner"", ""quick""]","[""2.5 cups gluten-free flour"", ""1 teaspoon baking powder"", ""0.5 teaspoon salt"", ""1 cup white sugar"", ""0.75 cup unsalted butter, softened"", ""1 teaspoon vanilla extract"", ""2 large eggs"", ""0.25 cup cream cheese, softened"", ""0.25 cup unsalted butter, softened"", ""1 teaspoon vanilla extract"", ""1.5 cups confectioners' sugar""]","[""Gather all ingredients."", ""Make the cookies: Whisk flour, baking powder, and salt together in a bowl."", ""Beat white sugar, butter, and vanilla in a bowl with an electric mixer until creamy, 3 to 4 minutes. Beat in eggs, 1 at a time, until mixture is smooth. Gradually mix in flour mixture until a dough forms."", ""Form dough into a ball. Wrap ball with plastic wrap and refrigerate for 1 hour."", ""Preheat the oven to 325 degrees F (165 degrees C). Line two baking sheets with parchment paper or silicon baking mats."", ""Roll dough on a lightly floured surface and cut into shapes using desired cookie cutters. Arrange cookies on the prepared baking sheets."", ""Bake in the preheated oven until edges begin to brown, about 10 minutes, switching racks halfway through. Cool on the baking sheet briefly before removing to a wire rack to cool, 8 to 10 minutes more."", ""While the cookies are cooling, make the icing: Beat cream cheese, butter, and vanilla in a bowl using an electric mixer until well combined. Slowly beat in confectioners&#39; sugar until icing is smooth."", ""Spread icing onto cooled cookies.""]",,Allrecipes,Original recipe from Allrecipes: https://www.allrecipes.com/recipe/240496/gluten-free-sugar-cookies/
21,Tomato Pie,20,1,430,14,41,19,0,15,11,"[""breakfast"", ""lunch"", ""dinner"", ""quick""]","[""1 (9 inch) deep dish pie crust"", ""4 large tomatoes, peeled and sliced"", ""0.5 pound bacon - cooked, drained, and chopped"", ""3 green onions, thinly sliced"", ""0.5 cup chopped fresh basil"", ""1 teaspoon dried oregano"", ""0.5 teaspoon garlic powder"", ""0.5 teaspoon crushed red pepper"", ""2 cups shredded Cheddar cheese"", ""0.25 cup mayonnaise""]","[""Gather all ingredients. Preheat the oven to 375 degrees F (190 degrees C)."", ""In alternating layers, fill pie crust with tomatoes, bacon, green onions, basil, oregano, garlic powder, and red pepper."", ""Stir together cheese and mayonnaise in a small bowl."", ""Spread over the top of pie. Cover loosely with aluminum foil."", ""Bake in the preheated oven for 30 minutes. Remove foil and continue baking for 30 more minutes."", ""Serve pie warm or cold.""]",,Allrecipes,Original recipe from Allrecipes: https://www.allrecipes.com/recipe/15807/tomato-pie-i/
22,Jimmy Dean Breakfast Casserole,15,1,635,36,61,20,0,40,12,"[""breakfast"", ""lunch"", ""dinner"", ""quick""]","[""cooking spray"", ""1 (16 ounce) package Regular Flavor Jimmy Dean Pork Sausage"", ""10 large eggs, lightly beaten"", ""3 cups milk"", ""2 teaspoons dry mustard"", ""1 teaspoon salt"", ""6 cups cubed bread"", ""2 cups shredded sharp Cheddar cheese"", ""1 medium tomato, seeded and chopped"", ""0.5 cup sliced mushrooms"", ""0.5 cup thin-sliced green onion"", ""0.5 teaspoon black pepper""]","[""Preheat the oven to 325 degrees F (165 degrees C). Grease a 9x13-inch baking dish with cooking spray."", ""Cook sausage in a large skillet over medium-high heat, stirring frequently, until thoroughly cooked and no longer pink, 8 to 10 minutes. Remove from heat."", ""Combine eggs, milk, dry mustard, and salt in a large bowl; stir well."", ""Distribute 1/2 of the bread evenly into the prepared dish. Sprinkle with 1/2 of the sausage, 1/2 of the cheese, 1/2 of the tomato, 1/2 of the mushroom, 1/2 of the green onion, and 1/2 of the black pepper. Repeat layers one more time. Pour egg mixture evenly over casserole."", ""Bake uncovered until eggs are set, 55 to 60 minutes. Tent with foil if the top begins to brown too quickly.""]",,Allrecipes,Original recipe from Allrecipes: https://www.allrecipes.com/recipe/84065/jimmy-dean-breakfast-casserole/
23,Absolutely Ultimate Potato Soup,15,8,100,5,6,3,0,6,1,"[""breakfast"", ""lunch"", ""dinner"", ""quick""]","[""1 pound bacon, chopped"", ""2 stalks celery, diced"", ""1 onion, chopped"", ""3 cloves garlic, minced"", ""8 potatoes, peeled and cubed"", ""4 cups chicken stock, or enough to cover potatoes"", ""3 tablespoons butter"", ""0.25 cup all-purpose flour"", ""1 cup heavy cream"", ""1 teaspoon dried tarragon"", ""3 teaspoons chopped fresh cilantro"", ""salt and freshly ground black pepper to taste""]","[""Gather all ingredients."", ""Place bacon in a Dutch oven and cook over medium-high heat, turning occasionally, until evenly browned, 5 to 10 minutes. Drain bacon pieces on paper towels. Drain off all but 1/4 cup of the bacon grease."", ""Cook celery and onion in the reserved bacon drippings until onion is soft and translucent, about 5 minutes. Stir in garlic, and continue cooking for 1 to 2 minutes."", ""Add cubed potatoes, and toss to coat. Saut\u00e9 for 3 to 4 minutes. Return bacon to the pan, and add enough chicken stock to just cover the potatoes. Cover, and simmer until potatoes are tender, 15 to 20 minutes."", ""Meanwhile, melt butter in a separate skillet over medium heat. Whisk in flour. Cook, stirring constantly, 1 to 2 minutes. Whisk in heavy cream, tarragon, and cilantro."", ""Bring cream mixture to a boil, and cook, stirring constantly, until thickened, about 5 minutes. Add cream mixture to the potato mixture; stir to combine."", ""Transfer about 1/2 of the soup to a blender and pur\u00e9e. Return to the Dutch oven. Adjust seasonings to taste."", ""Serve hot and enjoy!""]",,Allrecipes,Original recipe from Allrecipes: https://www.allrecipes.com/recipe/13218/absolutely-ultimate-potato-soup/
24,Beer Batter Fish Made Great,15,8,100,5,7,2,0,1,1,"[""breakfast"", ""lunch"", ""dinner"", ""quick""]","[""2 quarts vegetable oil for frying"", ""8 (4 ounce) fillets cod"", ""salt and pepper to taste"", ""1 cup all-purpose flour"", ""2 tablespoons garlic powder"", ""2 tablespoons paprika"", ""2 teaspoons salt"", ""2 teaspoons ground black pepper"", ""1 egg, beaten"", ""1 (12 fluid ounce) can or bottle beer, or as needed""]","[""Gather all ingredients."", ""Heat oil in a deep fryer to 365 degrees F (185 degrees C). Rinse cod fillets, pat dry, and season with salt and pepper."", ""Mix flour, garlic powder, paprika, salt, and pepper in a large bowl; add egg and stir well to combine. Gradually mix in enough beer to make a thin batter."", ""Dip cod fillets into the batter to coat. Carefully lower fillets, one at a time, into the hot oil."", ""Fry several fillets at a time, turning once, until cooked through and golden brown, about 2 minutes per side."", ""Drain on paper towels. Repeat to cook remaining fillets. Serve warm.""]",,Allrecipes,Original recipe from Allrecipes: https://www.allrecipes.com/recipe/20107/beer-batter-fish-made-great/
25,Mexican Rice,5,4,102,6,8,3,0,10,2,"[""vegetarian"", ""breakfast"", ""lunch"", ""dinner"", ""quick""]","[""3 tablespoons vegetable oil"", ""1 cup uncooked long-grain rice"", ""1 teaspoon garlic salt"", ""0.5 teaspoon ground cumin"", ""0.25 cup chopped onion"", ""2 cups chicken broth"", ""0.5 cup tomato sauce""]","[""Gather all ingredients."", ""Heat oil in a large saucepan over medium heat. Add rice and season with garlic salt and cumin; cook, stirring constantly, until puffed and golden."", ""Add onion; cook and stir until onion has softened."", ""Stir in chicken broth and tomato sauce; bring to a boil."", ""Reduce heat to low, cover, and simmer for 20 to 25 minutes. Fluff rice with a fork."", ""Serve and enjoy!""]",,Allrecipes,Original recipe from Allrecipes: https://www.allrecipes.com/recipe/27072/mexican-rice-ii/
